color_name, h_min, s_min, v_min, h_max, s_max, v_max
black, 0, 0, 0, 180, 255, 30
white, 0, 0, 200, 180, 30, 255
red, 0, 70, 50, 10, 255, 255
orange, 11, 70, 50, 20, 255, 255
yellow, 21, 70, 50, 30, 255, 255
green, 31, 70, 50, 85, 255, 255
cyan, 86, 70, 50, 100, 255, 255
blue, 101, 70, 50, 130, 255, 255
purple, 131, 70, 50, 160, 255, 255
pink, 161, 70, 50, 170, 255, 255
brown, 0, 70, 50, 20, 255, 100
# Add more color ranges below
...
